[5, 2.5]   0 4.479683333333333 4.082005555555556
[2.5, 1.25]   0 4.558766666666666 4.136961111111111
[1.25, 0.625]   0 4.558766666666666 4.136961111111111
[0.625, 0.3125]   0 4.567977777777778 4.150216666666667
[0.3125, 0.15625]   0 4.567977777777778 4.150216666666667
[0.15625, 0.078125]   0 4.580316666666667 4.197133333333333
[20, 10]   0 2.160733333333333 1.6469166666666666
[10.0, 5.0]   0 4.108011111111112 3.6556888888888888
[5.0, 2.5]   0 4.70195 4.269333333333333
[2.5, 1.25]   0 4.7976277777777785 4.402111111111111
[1.25, 0.625]   0 4.906627777777778 4.510338888888889
