models_4399
[10.0, 5.0]   0 3.664466666666667 3.0465611111111115
[5.0, 2.5]   0 4.512094444444444 4.066272222222222
[2.5, 1.25]   0 4.652494444444445 4.244955555555555
[1.25, 0.625]   0 4.7215333333333325 4.281916666666667
[0.625, 0.3125]   0 4.824688888888889 4.399061111111111
[10.0, 5.0]   0 3.617366666666667 2.9019388888888886
models_4417
[10.0, 5.0]   0 3.7760944444444444 3.2782999999999998
[5.0, 2.5]   0 4.547355555555555 4.0828444444444445
[2.5, 1.25]   0 4.788733333333334 4.340133333333332
[1.25, 0.625]   0 4.841566666666667 4.417983333333334
[0.625, 0.3125]   0 4.841566666666667 4.330616666666667
[10.0, 5.0]   0 -33.53465 -37.47511111111111
