,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10.0,10.0,10.0,10.0,8.0,12.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,-2.0,10.0,10.0,10.0,16.0,2.0,22.333333333333336,24.53333333333333,3.1333333333333337
1,10.0,9.0,9.0,10.0,9.0,13.0,10.0,10.0,0.0,13.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,16.0,1.0,0.0,8.433333333333334,20.53333333333333,18.633333333333333
2,10.0,9.0,9.0,10.0,10.0,14.0,10.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,10.0,16.0,1.0,3.0,0.0,21.866666666666667,8.866666666666667,16.46666666666667
3,9.0,9.0,9.0,12.0,13.0,12.0,0.0,13.0,0.0,18.0,1.0,0.0,0.0,11.0,12.0,2.0,16.0,1.0,3.0,11.0,-3.0,-9.6,-4.949999999999999,1.65
4,9.0,8.0,9.0,3.0,5.0,19.0,13.0,0.0,18.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,1.0,3.0,11.0,7.0,0.0,22.799999999999997,21.1,13.7
5,8.0,8.0,9.0,5.0,6.0,5.0,0.0,18.0,0.0,8.0,-3.0,11.0,12.0,0.0,7.0,9.0,3.0,11.0,7.0,11.0,-6.0,8.05,-5.299999999999999,9.55
6,7.0,8.0,9.0,1.0,9.0,0.0,18.0,0.0,8.0,9.0,3.0,12.0,0.0,7.0,13.0,0.0,11.0,7.0,11.0,7.0,-3.0,-3.9333333333333336,-3.4833333333333334,0.9166666666666667
7,7.0,8.0,10.0,12.0,13.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,7.0,11.0,7.0,7.0,-0.0,18.433333333333334,19.833333333333332,16.53333333333333
8,7.0,7.0,9.0,5.0,6.0,0.0,8.0,9.0,0.0,8.0,0.0,7.0,13.0,0.0,10.0,0.0,11.0,7.0,7.0,13.0,0.0,1.2166666666666666,-0.8833333333333335,-2.033333333333333
9,7.0,6.0,11.0,3.0,4.0,6.0,9.0,0.0,8.0,5.0,-3.0,13.0,0.0,10.0,13.0,-3.0,7.0,7.0,13.0,8.0,6.0,9.6,-2.220446049250313e-16,1.7999999999999996
10,9.0,6.0,11.0,3.0,11.0,2.0,0.0,8.0,5.0,13.0,0.0,0.0,10.0,13.0,0.0,0.0,7.0,13.0,8.0,13.0,0.0,3.166666666666667,11.366666666666667,6.266666666666667
11,9.0,7.0,10.0,0.0,4.0,0.0,8.0,5.0,13.0,9.0,2.0,10.0,13.0,0.0,0.0,0.0,13.0,8.0,13.0,5.0,-2.0,-1.8833333333333333,13.716666666666667,9.866666666666667
12,10.0,7.0,12.0,0.0,5.0,1.0,5.0,13.0,9.0,6.0,2.0,13.0,0.0,0.0,11.0,-2.0,8.0,13.0,5.0,13.0,-0.0,9.633333333333333,4.133333333333333,8.033333333333333
13,10.0,8.0,11.0,0.0,10.0,0.0,13.0,9.0,6.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,13.0,5.0,13.0,9.0,0.0,-6.333333333333333,-2.583333333333333,2.416666666666667
14,11.0,7.0,11.0,2.0,3.0,2.0,9.0,6.0,11.0,13.0,-0.0,0.0,11.0,12.0,0.0,0.0,5.0,13.0,9.0,8.0,0.0,9.733333333333334,17.133333333333333,14.733333333333334
15,12.0,7.0,12.0,0.0,0.0,0.0,6.0,11.0,13.0,6.0,0.0,11.0,12.0,0.0,12.0,0.0,13.0,9.0,8.0,9.0,0.0,9.916666666666666,-8.833333333333334,-0.08333333333333334
16,11.0,6.0,13.0,0.0,5.0,0.0,11.0,13.0,6.0,14.0,0.0,12.0,0.0,12.0,11.0,-0.0,9.0,8.0,9.0,16.0,0.0,-9.0,-5.25,0.75
17,12.0,5.0,13.0,0.0,7.0,1.0,13.0,6.0,14.0,20.0,-0.0,0.0,12.0,11.0,0.0,-5.0,8.0,9.0,16.0,11.0,5.0,-1.1833333333333331,14.866666666666667,4.716666666666667
18,10.0,6.0,14.0,3.0,1.0,0.0,6.0,14.0,20.0,0.0,-0.0,12.0,11.0,0.0,0.0,0.0,9.0,16.0,11.0,10.0,0.0,23.15,17.35,10.200000000000001
19,11.0,5.0,18.0,0.0,7.0,0.0,14.0,20.0,0.0,9.0,0.0,11.0,0.0,0.0,11.0,-1.0,16.0,11.0,10.0,16.0,1.0,1.8499999999999999,-5.3500000000000005,-6.4
20,11.0,5.0,19.0,3.0,6.0,4.0,20.0,0.0,9.0,13.0,-0.0,0.0,0.0,11.0,0.0,-7.0,11.0,10.0,16.0,16.0,7.0,9.183333333333334,20.383333333333333,9.333333333333334
21,10.0,6.0,20.0,10.0,0.0,0.0,0.0,9.0,13.0,13.0,-3.0,0.0,11.0,0.0,0.0,0.0,10.0,16.0,16.0,16.0,3.0,9.75,15.25,12.5
22,10.0,5.0,20.0,0.0,0.0,0.0,9.0,13.0,13.0,0.0,-1.0,11.0,0.0,0.0,10.0,0.0,16.0,16.0,16.0,16.0,1.0,13.916666666666666,-12.083333333333334,-3.8333333333333335
23,10.0,5.0,20.0,0.0,6.0,0.0,13.0,13.0,0.0,13.0,-0.0,0.0,0.0,10.0,13.0,-0.0,16.0,16.0,16.0,16.0,0.0,-0.36666666666666653,-6.716666666666666,6.383333333333334
24,10.0,5.0,20.0,3.0,1.0,0.0,13.0,0.0,13.0,8.0,-0.0,0.0,10.0,13.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,12.9,14.100000000000001,13.2
25,9.0,4.0,20.0,4.0,0.0,0.0,0.0,13.0,8.0,13.0,-3.0,10.0,13.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,3.0,6.383333333333333,4.533333333333333,11.783333333333333
26,8.0,5.0,20.0,0.0,5.0,0.0,13.0,8.0,13.0,8.0,0.0,13.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,-4.0,-5.0,6.0
27,9.0,4.0,20.0,4.0,9.0,1.0,8.0,13.0,8.0,0.0,-0.0,0.0,0.0,11.0,0.0,-5.0,16.0,16.0,16.0,16.0,5.0,23.21666666666667,20.21666666666667,17.266666666666666
28,9.0,5.0,20.0,0.0,4.0,1.0,13.0,8.0,0.0,13.0,-4.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,4.0,8.166666666666668,13.016666666666666,14.316666666666666
29,9.0,4.0,20.0,4.0,0.0,0.0,8.0,0.0,13.0,8.0,-0.0,11.0,0.0,0.0,4.0,0.0,16.0,16.0,16.0,16.0,0.0,9.383333333333333,6.283333333333333,13.033333333333333
30,8.0,4.0,20.0,4.0,7.0,0.0,0.0,13.0,8.0,14.0,0.0,0.0,0.0,4.0,4.0,-0.0,16.0,16.0,16.0,16.0,0.0,-1.4333333333333331,2.2666666666666666,7.966666666666667
31,8.0,4.0,20.0,0.0,3.0,0.0,13.0,8.0,14.0,0.0,0.0,0.0,4.0,4.0,12.0,0.0,16.0,16.0,16.0,16.0,0.0,6.566666666666666,-5.233333333333333,8.066666666666666
32,8.0,5.0,20.0,5.0,0.0,0.0,8.0,14.0,0.0,8.0,-0.0,4.0,4.0,12.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,7.5,8.5,11.0
33,8.0,5.0,20.0,1.0,0.0,0.0,14.0,0.0,8.0,8.0,-4.0,4.0,12.0,0.0,8.0,-0.0,16.0,16.0,16.0,16.0,4.0,11.783333333333335,1.6333333333333337,12.883333333333333
34,9.0,5.0,20.0,5.0,0.0,0.0,0.0,8.0,8.0,13.0,-1.0,12.0,0.0,8.0,8.0,0.0,16.0,16.0,16.0,16.0,1.0,2.083333333333333,-1.1666666666666667,8.583333333333334
35,9.0,5.0,19.0,0.0,7.0,0.0,8.0,8.0,13.0,5.0,0.0,0.0,8.0,8.0,0.0,-0.0,16.0,16.0,16.0,16.0,0.0,5.8500000000000005,11.65,11.600000000000001
36,9.0,5.0,20.0,0.0,2.0,0.0,8.0,13.0,5.0,9.0,0.0,8.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,7.6000000000000005,12.65,11.850000000000001
